Nazwa	Skrót	Kod	Kod paskowy	Pierwszy dod. kod pask.	Typ	Kod grupy	Grupa	Jednostka	PKWiU	VATs	VATz	Ilość	Opak.zb.	Gramatura	Ce.zak.netto	Ce.sprz.netto	Ce.sprz.brutto	WPromocji:	Używaj limitów	Limit dolny	Limit górny	Marza bazowa	Narzut bazowy	Zapas na	LiczbaDniPrzydatnosci	Fotografia	Uwagi	Klas1	Klas2	Klas3	Klas4	Klas5	Klas6	Klas7	Klas8	Klas9	Klas10	DataWpisu	Opis
IMM. RURA PRZEDŁ.    60/100    1000		804			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	88.00	112.95	138.93		0	1	1			14			K.012938											2012-11-29	
IMM. KOCIOŁ VICTRIX 2i    24kW		803			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	3091.00	3243.90	3990.00		0	1	1			14														2012-11-20	
ZMIĘKCZACZ WODY AQUAHOME 20		802			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	1730.00	1869.92	2300.00		0	1	1			14			VIESSMANN											2012-11-19	
RO6 - SYSTEM ODWRÓCONEJ OSMOZY		796			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	300.82	365.85	450.00		0	1	1			14			"WRO-3 , WRO-5
przyłącze 1/2*"											2012-11-19	
WKŁAD FILTRA  POLIPRO. 5		797			Towar	1	Ogólna	mb	Bez SWW	23%	23%	0	1	1	3.00	4.07	5.00		0	1	1			14			10cali											2012-11-19	
WKŁAD FILTRA  POLIPRO. 1		798			Towar	1	Ogólna	mb	Bez SWW	23%	23%	0	1	1	3.00	4.07	5.00		0	1	1			14			10cali											2012-11-19	
WKŁAD FILTRA  WĘGLOWY		799			Towar	1	Ogólna	mb	Bez SWW	23%	23%	0	1	1	5.00	8.13	10.00		0	1	1			14			10cali											2012-11-19	
WKŁAD LINIOWY  MINERALIZUJACY		801			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	8.00	18.70	23.00		0	1	1			14			10cali											2012-11-19	
WKŁAD LINIOWY  WĘGLOWY		800			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	4.15	8.94	11.00		0	1	1			14			10cali											2012-11-19	
Grzejnik IMMERPAN 600x400 V11		795			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	162.50	203.13	249.85		0	1	1			14														2012-11-13	
MOŚ   KOŃCÓWKA DO WĘŻA   1/2*10mm GZ		786			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	29	1	1	1.78	3.24	3.99		0	1	1			14														2012-11-13	
MOŚ   KOŃCÓWKA DO WĘŻA   1/2*12mm GZ		787			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	17	1	1	1.78	3.30	4.06		0	1	1			14														2012-11-13	
IMM. STER.  DIANA D10		789			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	81.00	101.22	124.50		0	1	1			14			DD6050490											2012-11-13	
MOŚ   KOŃCÓWKA DO WĘŻA   1/2*9mm GZ		788			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	7	1	1	1.78	3.18	3.91		0	1	1			14														2012-11-13	
Grzejnik IMMERPAN 600x1400 C22		791			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	338.50	423.13	520.45		0	1	1			14														2012-11-13	
Grzejnik IMMERPAN 600x600 C22		792			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	184.50	230.63	283.67		0	1	1			14														2012-11-13	
Grzejnik IMMERPAN 600x1000 V22		794			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	311.50	389.38	478.94		0	1	1			14														2012-11-13	
Grzejnik IMMERPAN 600x400 V22		793			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	220.50	275.63	339.02		0	1	1			14														2012-11-13	
IMM. STER.  DELTA 2		790			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	33.00	44.31	54.50		0	1	1			14			"4824
sterownik z pokrętłem"											2012-11-13	
UPO ROZ STAL NIERDZ Z PRZEPŁY 1*  2obw		774			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	273.98	322.33	396.47		0	1	1			14														2012-10-29	
WĄŻ NIERDZ. OPLOT   1/2 * 1/2   L-100		771			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	6.61	8.82	10.85		0	1	1			14														2012-10-29	
UPO ROZ STAL NIERDZ Z PRZEPŁY 1*  10obw		773			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	872.41	1026.37	1262.44		0	1	1			14														2012-10-29	
GLIKOL KONCENTRAT   20L    -35stC		775			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	174.40	195.12	240.00		0	1	1			14			"PŁYN TERMALNY ""INNOVA-TERM"""											2012-10-29	
GRZAŁKA PODGRZEWACZA		776			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	78.48	98.29	120.90		0	1	1			14			Komplet elektr. z grz. 2kW 230v - K5/4											2012-10-29	
WENTYLATOR TYP RV		777			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	135.00	158.83	195.36		0	1	1			14														2012-10-29	
KLAPKA MAŁA CHROM P.   WC703		778			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	62.12	77.65	95.51		0	1	1			14			"WC703 
KLAPKA MAŁA WC  CHROM P.  995N/980N"											2012-10-29	
KLAPKA MAŁA CHROM P.   WC707		780			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	63.19	78.99	97.16		0	1	1			14			"WC707
KLAPKA MAŁA WC  CHROM P.  995N/980N"											2012-10-29	
KLAPKA BetPL.   SK706		781			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	119.00	132.23	162.64		0	1	1			14			"KS706
KLAPKA BetPL.   SK706   KS alpin"											2012-10-29	
PEX SZAFKA PODT.   TRS-0		782			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	93.80	110.36	135.74		0	1	1			14			"40cm 2-4obw
TREXIM LUB TECE"											2012-10-29	
WKŁAD FILTRA      POLIPROPYLENOWY		783			Towar	1	Ogólna	mb	Bez SWW	23%	23%	0	1	1	4.90	5.33	6.56		0	1	1			14														2012-10-29	
BATERIA JASPIS UMYWAL. ŚCIENNA		784			Towar	1	Ogólna	mb	Bez SWW	23%	23%	0	1	1	72.07	84.79	104.29		0	1	1			14			540-810-00											2012-10-29	
STEROWNIK AURATON 2005 economic		785			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	105.14	150.41	185.00		0	1	1			14														2012-10-29	
WĄŻ NIERDZ. OPLOT   1/2 * M10 L-30 długi		772			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	3.47	5.20	6.40		0	1	1			14														2012-10-29	
KLAPKA MAŁA CHROM P.   WC701		779			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	92.81	109.19	134.30		0	1	1			14			"WC701
KLAPKA MAŁA WC  CHROM P.  995N/980N"											2012-10-29	
Grzejnik KERMI 600x400 V22		769			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	241.00	282.93	348.00		0	1	1			14														2012-10-25	
RURA SPIRO KAINER   125    2mb		767			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	87.04	124.35	152.95		0	1	1			14														2012-10-21	
Grzejnik IMMERPAN 600x1300 V22		764			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	398.00	497.50	611.93		0	1	1			14														2012-10-21	
IMM. ROZETA BIAŁA    125		766			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.01	12.11	14.90		0	1	1			14														2012-10-21	
RURA SPIRO KAINER   125    1mb		768			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	43.52	62.18	76.48		0	1	1			14														2012-10-21	
Grzejnik IMMERPAN 600x600 V22		765			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	244.50	305.63	375.92		0	1	1			14														2012-10-21	
IMM. ZESTAW PODŁĄCZ.   60 / 100		763			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	330.00	440.00	541.20		0	1	1			14			K.Z60/100											2012-10-16	
CU REDUKCJA NYPLOWA    22 / 18		753			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	36	1	1	1.54	2.21	2.72		0	1	1			14														2012-10-15	
CU MUFA   18		747			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	34	1	1	0.49	0.98	1.21		0	1	1			14														2012-10-15	
CU MUFA   15		748			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	20	1	1	0.40	0.78	0.96		0	1	1			14														2012-10-15	
CU ZAŚLEPKA    28		749			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	5	1	1	4.67	5.19	6.38		0	1	1			14														2012-10-15	
CU ZAŚLEPKA    15		750			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	18	1	1	1.26	1.91	2.35		0	1	1			14														2012-10-15	
CU OBEJSCIE   1K   22		754			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	10	1	1	14.43	19.24	23.67		0	1	1			14														2012-10-15	
CU REDUKCJA NYPLOWA    28 / 22		752			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	32	1	1	2.54	3.39	4.17		0	1	1			14														2012-10-15	
CU MUFA   28		746			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	22	1	1	2.02	2.89	3.55		0	1	1			14														2012-10-15	
CU ŁUK 45*   28   2K		756			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	3.83	5.90	7.26		0	1	1			14														2012-10-15	
CU ŁUK 45*   22   2K		757			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	2.11	3.25	4.00		0	1	1			14														2012-10-15	
CU ŁUK 45*   18   2K		758			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	1.87	2.88	3.54		0	1	1			14														2012-10-15	
CU ŁUK 45*   15   2K		759			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.76	1.52	1.87		0	1	1			14														2012-10-15	
IMM. KOCIOŁ NIKE STAR    24kW    3E		760			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	1443.96	1609.76	1980.00		0	1	1			14			3.019479											2012-10-15	
IMM. STER.  SUPER COMANDO AMICO + SONDA		761			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	546.22	650.40	799.99		0	1	1			14			"3.016577
SCAR"											2012-10-15	
IMM. SONDA ZEWNĘTRZNA CAR		762			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	150.04	223.12	274.44		0	1	1			14			3.014083											2012-10-15	
OBEJMA STALOWA   3/8*   b/uszcz.		755			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	32	1	1	0.71	1.19	1.46		0	1	1			14														2012-10-15	
CU TRÓJNIK RED  22 / 18 / 22		751			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	4.02	4.73	5.82		0	1	1			14														2012-10-15	
IMM. RURA    60 x 500		745			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	26.00	34.67	42.64		0	1	1			14														2012-10-11	
Grzejnik Łazienkowy HENIKS GŁP 20/50		737			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	293.00	344.71	423.99		0	1	1			14			(560 x 1180)											2012-10-11	
Grzejnik Łazienkowy HENIKS GP2 30/60		738			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	293.00	348.81	429.04		0	1	1			14			(635 x 980)											2012-10-11	
Grzejnik Łazienkowy HENIKS GPP2 22/50		739			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	314.00	369.92	455.00		0	1	1			14			(560 x 1180)											2012-10-11	
Grzejnik KERMI 600x800 V22		740			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	309.58	395.30	486.22		0	1	1			14														2012-10-11	
Grzejnik KERMI 600x1100 V22		741			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	373.06	476.48	586.07		0	1	1			14														2012-10-11	
Grzejnik KERMI 600x1600 V22		742			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	477.48	612.16	752.96		0	1	1			14														2012-10-11	
Grzejnik KERMI 400x1400 V22		744			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	398.82	509.42	626.59		0	1	1			14														2012-10-11	
MIARKOWNIK CIĄGU FR 124 - 3/4*	REGULATOR CIĄGU	736			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	119.04	132.27	162.69		0	1	1			14														2012-10-11	
Grzejnik KERMI 600x400 V11		743			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	166.52	212.95	261.93		0	1	1			14														2012-10-11	
KOCIOŁ OGNIWO 24 kW S6WC		733			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	2289.97	2602.24	3200.76		0	1	1			14														2012-10-10	
Grzejnik PURMO 600x1000 C33		732			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	365.85	425.41	523.25		0	1	1			14														2012-10-10	
CU MUFA   22 * 1		735			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	4.84	5.91	7.27		0	1	1			14														2012-10-10	
Grzejnik KERMI 300x2000 V22		734			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	423.20	497.89	612.40		0	1	1			14														2012-10-10	
PEX FOLIA OGRZ. PODŁOGOWEGO MAXL		725			Towar	1	Ogólna	mb	Bez SWW	23%	23%	0	1	1	1.19	1.99	2.45		0	1	1			14														2012-10-08	
LINKA STALOWA NIERDZEWNA   3,0		731			Towar	1	Ogólna	mb	Bez SWW	23%	23%	0	1	1	5.28	6.22	7.65		0	1	1			14														2012-10-08	
Wyłącznik ciśnieniowy 1/4Ż	Hydrofor c	730			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	32.52	54.20	66.67		0	1	1			14														2012-10-08	
WYJŚCIE TŁOCZNE PIĘCIODROŻNE	Hydrofor	729			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	20.33	31.28	38.47		0	1	1			14														2012-10-08	
POMPA GŁĘBINOWA SKM 100 230V		728			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	325.21	357.72	440.00		0	1	1			14														2012-10-08	
POMPA GŁĘBINOWA SKM 150 230V		727			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	340.65	387.11	476.15		0	1	1			14														2012-10-08	
IMM. REGULATOR  SUPER CAR + sonda zew.	Wlot-wylot	719			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	570.00	674.80	830.00		0	1	1			14														2012-10-03	
IMM. ROZETA BIAŁA    100		720			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	17.28	18.19	22.37		0	1	1			14														2012-10-03	
PEX RURA UPONOR   14x2            S		721			Towar	1	Ogólna	mb	Bez SWW	23%	23%	0	1	1	5.20	5.42	6.67		0	1	1			14														2012-10-03	
OC RURA   3/4		722			Towar	1	Ogólna	mb	Bez SWW	23%	23%	0	1	1	0.01	11.38	14.00		0	1	1			14														2012-10-03	
PASTA KANALIZACYJNA 500g		724			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	13.99	27.98	34.42		0	1	1			14			DEGUFIT											2012-10-03	
ZAWÓR BEZPIECZEŃSTWA    3/4*    8bar		723			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	3	1	1	20.75	34.96	43.00		0	1	1			14														2012-10-03	
CU ZAŚLEPKA    22		718			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	10	1	1	2.52	3.87	4.76		0	1	1			14														2012-09-26	
PODGRZEWACZ PŁASZCZOWY COSPEL 120L		714			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	529.84	608.74	748.75		0	1	1			14														2012-09-25	
NACZYNIE PRZEPONOWE   8L   CWU   REFLEX		717			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	94.50	111.18	136.75		0	1	1			14														2012-09-25	
CU ŁUK   28   1K		716			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	5.75	6.06	7.45		0	1	1			14														2012-09-25	
CU ŁUK   28   2K		715			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	3.53	4.42	5.44		0	1	1			14														2012-09-25	
Grzejnik KERMI 600x600 V33		713			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	366.62	431.32	530.52		0	1	1			14														2012-09-24	
TERMOFLEX   22x9    SZTANGA   2m		712			Towar	1	Ogólna	mb	Bez SWW	23%	23%	0	1	1	1.15	1.92	2.36		0	1	1			14														2012-09-24	
TERMOFLEX   18x9    SZTANGA   2m		711			Towar	1	Ogólna	mb	Bez SWW	23%	23%	0	1	1	1.03	1.72	2.12		0	1	1			14														2012-09-24	
TERMOFLEX   35x9    SZTANGA   2m		710			Towar	1	Ogólna	mb	Bez SWW	23%	23%	0	1	1	1.56	2.84	3.49		0	1	1			14														2012-09-24	
OC MUFA RED  5/4 * 1		709			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	2	1	1	5.87	7.63	9.39		0	1	1			14														2012-09-24	
TAŚMA BEZBARWNA DO FOLII		708			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	2.94	3.68	4.53		0	1	1			14														2012-09-14	
CU KOLANO   18   1K		707			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	11	1	1	1.72	2.46	3.03		0	1	1			14														2012-09-14	
CU KOLANO   22   1K		706			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	8	1	1	2.95	3.94	4.85		0	1	1			14														2012-09-14	
KOLANO CZARNE   3/4*   7		669			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	22	1	1	0.86	1.44	1.77		0	1	1			14														2012-09-11	
KOLANO CZARNE   2*   7		665			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	26	1	1	2.45	6.13	7.54		0	1	1			14														2012-09-11	
KOLANO CZARNE   6/4*		666			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	7	1	1	3.04	4.35	5.35		0	1	1			14														2012-09-11	
Grzejnik Łazienkowy HENIKS GŁT 20/50		649			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	208.13	260.17	320.01		0	1	1			14			(560 x 1180)											2012-09-11	
KOLANO CZARNE   2*		667			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	10	1	1	4.73	5.92	7.28		0	1	1			14														2012-09-11	
KOLANO CZARNE   5/4*		668			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	34	1	1	2.02	3.11	3.83		0	1	1			14														2012-09-11	
MUFA CZARNA   1		670			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	58	1	1	0.98	1.64	2.02		0	1	1			14														2012-09-11	
KOREK CZARNY   1		671			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	22	1	1	0.62	0.89	1.09		0	1	1			14														2012-09-11	
MUFA CZARNA   3/4		672			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	2	1	1	1.54	2.85	3.50		0	1	1			14														2012-09-11	
KOLANO CZARNE   5/4*   7		664			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	20	1	1	2.52	4.20	5.17		0	1	1			14														2012-09-11	
ZAWÓR PRZELOTOWY  OCYNK   2*		674			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	2	1	1	35.53	44.42	54.64		0	1	1			14														2012-09-11	
IMM. KOŃCÓWKA WENTYLOWANA   60/100		657			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	153.00	195.12	240.00		0	1	1			14			K.012112											2012-09-11	
ZAWÓR PRZELOTOWY  OCYNK   6/4*		675			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	2	1	1	20.91	26.14	32.15		0	1	1			14														2012-09-11	
ZAWÓR KULOWY GAZOWY   5/4*		663			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	8	1	1	22.17	34.22	42.09		0	1	1			14														2012-09-11	
FILTR WODY   5/4*		662			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	3	1	1	20.10	23.66	29.10		0	1	1			14														2012-09-11	
KOMPAKT UNIWERSALNY QUADRA GRASS		661			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	243.09	270.10	332.22		0	1	1			14			QKO-1000											2012-09-11	
TRÓJNIK CZARNY   5/4*		660			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	35	1	1	3.14	3.70	4.55		0	1	1			14														2012-09-11	
IMM. KOLANO    60    90		658			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	63.07	74.20	91.27		0	1	1			14														2012-09-11	
KOLANO CZARNE   1*		676			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	44	1	1	1.34	1.68	2.07		0	1	1			14														2012-09-11	
IMM. RURA PRZEDŁ.    60/100    500		656			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	77.00	110.00	135.30		0	1	1			14			K.012938											2012-09-11	
IMM. RURA    60 x 1000		655			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	44.00	52.03	64.00		0	1	1			14														2012-09-11	
IMM. KOLANO    60/100    90		654			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	90.00	138.47	170.32		0	1	1			14														2012-09-11	
IMM. KOLANO PODST.   60/100		653			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	141.00	177.24	218.00		0	1	1			14			K.012139											2012-09-11	
IMM. KOCIOŁ VICTRIX ZEUS 1i    26kW		652			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	-2	1	1	4624.56	4869.92	5990.00		0	1	1			14														2012-09-11	
Grzejnik Łazienkowy HENIKS G 20/50		651			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	188.00	250.00	307.50		0	1	1			14			 (535x1180)											2012-09-11	
Grzejnik Łazienkowy HENIKS GP 20/50		650			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	200.00	250.00	307.50		0	1	1			14			(535 x 1180)											2012-09-11	
FILTR WODY   2*		659			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	43.06	47.85	58.86		0	1	1			14														2012-09-11	
PE TRÓJNIK    50 * 6/4   GZ		698			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	13	1	1	23.16	24.38	29.99		0	1	1			14														2012-09-11	
CU ZAWÓR KULOWY   22		673			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	3	1	1	11.42	13.44	16.53		0	1	1			14														2012-09-11	
KOLANO CZARNE   6/4*   7		677			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	13	1	1	4.17	5.64	6.94		0	1	1			14														2012-09-11	
PP MUFA   25   *   1/2   GZ		705			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	3.42	5.61	6.90		0	1	1			14														2012-09-11	
PP ZAŚLEPKA   32		704			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.75	1.25	1.54		0	1	1			14														2012-09-11	
PP KOLANO   32/45*		703			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	1.71	1.87	2.30		0	1	1			14														2012-09-11	
PP MUFA   20   *   3/4   GZ		702			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	41	1	1	4.32	5.28	6.50		0	1	1			14														2012-09-11	
PP MUFA   20   *   3/4   GW		701			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	9	1	1	3.97	4.88	6.00		0	1	1			14														2012-09-11	
PE KOLANO    50 * 2   GZ		699			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	2	1	1	5.62	7.50	9.23		0	1	1			14														2012-09-11	
PE TRÓJNIK    50		697			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	5	1	1	17.58	20.69	25.45		0	1	1			14														2012-09-11	
HERZ GŁOWICA TERM. COMAP		696			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	14.23	23.72	29.18		0	1	1			14			SENSO RI M30											2012-09-11	
ZAWÓR TERMOSTAT. do grzej. DANFOS		695			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	4	1	1	18.90	27.00	33.21		0	1	1			14														2012-09-11	
ZAWÓR TERMOSTATYCZNY 3/4 KĄT		694			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	3	1	1	12.60	18.00	22.14		0	1	1			14			VALVEX											2012-09-11	
OC REDUKCJA   6/4 * 1/2		692			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	19	1	1	2.59	4.32	5.31		0	1	1			14														2012-09-11	
FILTR WODY   1/2*   samoczyszczący		685			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	4	1	1	51.89	64.88	79.80		0	1	1			14														2012-09-11	
HERZ GŁOWICA TERM. SERIA9000 (C)		691			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	5	1	1	13.42	32.52	40.00		0	1	1			14			1 9260 06											2012-09-11	
NYPEL CZARNY   5/4		681			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	3	1	1	4.44	6.35	7.81		0	1	1			14														2012-09-11	
NYPEL CZARNY   6/4		682			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	5.02	7.18	8.83		0	1	1			14														2012-09-11	
KOREK CZARNY   3/4		683			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	15	1	1	0.46	0.77	0.95		0	1	1			14														2012-09-11	
PE KOLANO    40 * 5/4   GW		700			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	16	1	1	7.39	8.70	10.70		0	1	1			14														2012-09-11	
KOREK CZARNY   5/4		679			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	31	1	1	0.92	1.23	1.51		0	1	1			14														2012-09-11	
KOREK CZARNY   6/4		680			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	4	1	1	0.91	1.82	2.24		0	1	1			14														2012-09-11	
KOREK CZARNY   2		678			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	6	1	1	2.56	3.02	3.71		0	1	1			14														2012-09-11	
REDUK. CIŚNIENIA    1*   7bar		686			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	49.18	81.97	100.82		0	1	1			14														2012-09-11	
REDUK. CIŚNIENIA    1/2*   4bar		687			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	21.73	30.89	38.00		0	1	1			14														2012-09-11	
ZAWÓR POWROTNY 1/2 PROSTY PSB		688			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	11.97	12.10	14.88		0	1	1			14														2012-09-11	
ZAWÓR TERMOSTATYCZNY 1/2 PROSTY COMAP		689			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	4	1	1	14.23	20.33	25.00		0	1	1			14			COMAP											2012-09-11	
HERZ GŁOWICA TERMOSTATYCZNA		690			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	4	1	1	13.42	19.18	23.59		0	1	1			14			"PSB MARKA - wymagany zatrzask
1 7260 99"											2012-09-11	
FILTR WODY   1*   samoczyszczący		684			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	75.00	93.50	115.00		0	1	1			14														2012-09-11	
UPO ROZ STAL NIERDZ Z PRZEPŁY 1*  9obw		646			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	796.71	937.31	1152.89		0	1	1			14														2012-09-09	
